"identifikator","nazev","ico","n_osoba_v_cele","osoba_type","osoba_jmeno","pravni_forma","nazev_pravni_formy"
"00579181","OBEC TUTLEKY","00579181",1,"osoba","OLDŘICH MORAVEC","právní-forma/801","Obec"
"00272299","Obec Újezd pod Troskami","00272299",1,"osoba","JIŘÍ KUBIŠTA","právní-forma/801","Obec"
"00272337","Obec Veliš","00272337",0,NA,NA,"právní-forma/801","Obec"
"00237680","Město Dolní Bousov","00237680",1,"osoba","MIROSLAV BOČEK","právní-forma/801","Obec"
"00232386","Město Neveklov","00232386",1,"osoba","LADISLAV TRUMPICH","právní-forma/801","Obec"
"44684983","Obec Březová-Oleško","44684983",1,"osoba","VĚRA LEHKÁ","právní-forma/801","Obec"
"00235296","Obec Býchory","00235296",1,"osoba","RICHARD SEVERA","právní-forma/801","Obec"
"00231541","Obec Čakov","00231541",1,"osoba","MARTIN SCHOVÁNEK","právní-forma/801","Obec"
"00640620","Obec Černíky","00640620",1,"osoba","VRATISLAV OUHRABKA","právní-forma/801","Obec"
"00234265","Obec Červený Újezd","00234265",1,"osoba","VÁCLAV LADMAN","právní-forma/801","Obec"
"00509116","Obec Charvatce","00509116",1,"osoba","OLDŘICH PULDA","právní-forma/801","Obec"
"00473529","Obec Chlum","00473529",1,"osoba","LADISLAV VESELÝ","právní-forma/801","Obec"
"00473405","Obec Choratice","00473405",0,NA,NA,"právní-forma/801","Obec"
"00662852","Obec Chrást","00662852",1,"osoba","JIŘÍ PTÁČEK","právní-forma/801","Obec"
"00302732","Obec Jestřebí","00302732",1,"osoba","JAN MÁJ","právní-forma/801","Obec"
"00288349","Obec Klenovice na Hané","00288349",1,"osoba","STANISLAV CETKOVSKÝ","právní-forma/801","Obec"
"48770566","Obec Komárov","48770566",1,"osoba","LUCIE KONUPKOVÁ","právní-forma/801","Obec"
"00636339","Obec Lhotka","00636339",1,"osoba","MILAN TRNČÁK","právní-forma/801","Obec"
"00302929","Obec Lipová-lázně","00302929",1,"osoba","VLADIMÍR ŠANTRŮČEK","právní-forma/801","Obec"
"00232262","Obec Mnichovice","00232262",1,"osoba","PETR ŘÍHA","právní-forma/801","Obec"
"00473723","Obec Mrzky","00473723",1,"osoba","FRANTIŠEK PÁV","právní-forma/801","Obec"
"00232289","Městys Načeradec","00232289",1,"osoba","PETRA BARTONÍČKOVÁ","právní-forma/801","Obec"
