"identifikator","nazev","ico","n_osoba_v_cele","osoba_type","osoba_jmeno","pravni_forma","nazev_pravni_formy"
"00288543","Obec Ohrozim","00288543",1,"osoba","MICHAL LUKEŠ","právní-forma/801","Obec"
"00635669","Obec Olbramice","00635669",1,"osoba","DAGMAR KŘUPKOVÁ","právní-forma/801","Obec"
"00259331","Obec Chlum Svaté Maří","00259331",1,"osoba","KAREL SLOBODNÍK","právní-forma/801","Obec"
"00872059","Obec Chodov","00872059",1,"osoba","KAREL ČÍŽEK","právní-forma/801","Obec"
"00259292","Obec Dasnice","00259292",1,"osoba","GABRIELA TURNEROVÁ","právní-forma/801","Obec"
"00573221","Obec Děpoltovice","00573221",1,"osoba","ŠTĚPÁNKA LUXÍKOVÁ","právní-forma/801","Obec"
"00573132","Obec Dolní Rychnov","00573132",1,"osoba","ANNA KLÍMOVÁ","právní-forma/801","Obec"
"00253910","Obec Dolní Žandov","00253910",1,"osoba","ELIŠKA STRÁNSKÁ","právní-forma/801","Obec"
"00253928","Obec Drmoul","00253928",1,"osoba","JOSEF ŠVAJGL","právní-forma/801","Obec"
"00573230","Obec Hájek","00573230",1,"osoba","VÍT HROMÁDKO","právní-forma/801","Obec"
"00259373","Obec Jindřichovice","00259373",1,"osoba","MARTINA MAJDÁKOVÁ","právní-forma/801","Obec"
"00519278","Obec Josefov","00519278",1,"osoba","DANUŠE SUCHÁNKOVÁ","právní-forma/801","Obec"
"00259411","Obec Krajková","00259411",1,"osoba","JOSEF HORVÁT","právní-forma/801","Obec"
"00259420","Obec Královské Poříčí","00259420",1,"osoba","MICHAL KOVÁČ","právní-forma/801","Obec"
"00872067","Obec Krásný Les","00872067",1,"osoba","PAVEL JANDÁK","právní-forma/801","Obec"
"00254011","Obec Křižovatka","00254011",1,"osoba","JAN STRACHOTA","právní-forma/801","Obec"
"00254762","Obec Kyselka","00254762",1,"osoba","ALEŠ LABÍK","právní-forma/801","Obec"
"00254045","Obec Lipová","00254045",1,"osoba","TOMÁŠ LINDA","právní-forma/801","Obec"
"00254789","Obec Merklín","00254789",1,"osoba","ZDENĚK GERÁT","právní-forma/801","Obec"
"00573264","Obec Mírová","00573264",1,"osoba","LENKA BAŠTOVÁ","právní-forma/801","Obec"
"00573302","Obec Vrbice","00573302",1,"osoba","JIŘÍ SOJKA","právní-forma/801","Obec"
"00872083","Obec Vysoká Pec","00872083",1,"osoba","VÁCLAV MALÝ","právní-forma/801","Obec"
"00274739","MĚSTO BOROHRÁDEK","00274739",1,"osoba","MARTIN MORAVEC","právní-forma/801","Obec"
"00277967","Město Janské Lázně","00277967",1,"osoba","MARTIN HUDRLÍK","právní-forma/801","Obec"
"00841838","Obec Valchov","00841838",1,"osoba","KAREL VRÁNA","právní-forma/801","Obec"
"00281191","Obec Vanovice","00281191",1,"osoba","JOSEF PAVLÍK","právní-forma/801","Obec"
"00373591","Obec Vážany","00373591",1,"osoba","BŘETISLAV USNUL","právní-forma/801","Obec"
"00637076","Obec Velký Karlov","00637076",1,"osoba","BRONISLAV PRUDKÝ","právní-forma/801","Obec"
"00282804","Město Veverská Bítýška","00282804",1,"osoba","LUKÁŠ ZAVADIL","právní-forma/801","Obec"
"00637211","Obec Vilémovice","00637211",1,"osoba","FRANTIŠEK KALA","právní-forma/801","Obec"
"00281263","Obec Vísky","00281263",1,"osoba","STANISLAV KAMBA","právní-forma/801","Obec"
"00637092","Obec Vítonice","00637092",1,"osoba","PAVLÍNA HORÁKOVÁ","právní-forma/801","Obec"
"00285480","Obec Vnorovy","00285480",1,"osoba","PAVEL CHUDÍK","právní-forma/801","Obec"
"00281271","Obec Voděrady","00281271",1,"osoba","JAN ŘEHŮŘEK","právní-forma/801","Obec"
"00532207","Obec Vranová","00532207",1,"osoba","ROSTISLAV CICHRA","právní-forma/801","Obec"
"00283720","Obec Vranovice","00283720",1,"osoba","ŠÁRKA NOVOTNÁ","právní-forma/801","Obec"
"00637122","Městys Vratěnín","00637122",1,"osoba","MARTIN KINCL","právní-forma/801","Obec"
"00293831","Obec Vrbovec","00293831",1,"osoba","JIŘÍ PÍSAŘ","právní-forma/801","Obec"
"00366072","Obec Všechovice","00366072",1,"osoba","PAVEL VEJROSTA","právní-forma/801","Obec"
"00637149","Obec Vysočany","00637149",1,"osoba","BOHUSLAV HORT","právní-forma/801","Obec"
"00254118","Obec Nebanice","00254118",1,"osoba","JITKA VLKOVÁ","právní-forma/801","Obec"
"00479080","Obec Nové Hamry","00479080",1,"osoba","EVA MACHKOVÁ","právní-forma/801","Obec"
"00254126","Obec Nový Kostel","00254126",1,"osoba","GABRIELA MLEZIVOVÁ","právní-forma/801","Obec"
"00573272","Obec Otovice","00573272",1,"osoba","STEFANA ŠVECOVÁ","právní-forma/801","Obec"
"00572667","Obec Ovesné Kladruby","00572667",1,"osoba","AURELIE SKŘIVANOVÁ","právní-forma/801","Obec"
"00254878","Obec Pernink","00254878",1,"osoba","PETR GROH","právní-forma/801","Obec"
"00883611","Obec Poustka","00883611",1,"osoba","JAN RYBA","právní-forma/801","Obec"
"00572799","Obec Prameny","00572799",1,"osoba","MICHALA MÁLKOVÁ","právní-forma/801","Obec"
"00255033","Obec Šemnice","00255033",1,"osoba","JOSEF FIALA","právní-forma/801","Obec"
"00259632","Obec Šindelová","00259632",1,"osoba","VĚRA DROZDÍKOVÁ","právní-forma/801","Obec"
"00254975","Obec Stanovice","00254975",1,"osoba","ALICE KONDELČÍKOVÁ","právní-forma/801","Obec"
"00259608","Obec Staré Sedlo","00259608",1,"osoba","MIROSLAV TONCAR","právní-forma/801","Obec"
"00259616","Obec Stříbrná","00259616",1,"osoba","JANA KORTUSOVÁ","právní-forma/801","Obec"
"00573299","Obec Teplička","00573299",1,"osoba","TOMÁŠ KUNDRÁT","právní-forma/801","Obec"
"00670715","Obec Těšovice","00670715",1,"osoba","JOSEF RADEK","právní-forma/801","Obec"
"00254304","Obec Tři Sekery","00254304",1,"osoba","IVA STOLCOVÁ","právní-forma/801","Obec"
"00254274","Obec Trstěnice","00254274",1,"osoba","HELENA REPÍKOVÁ","právní-forma/801","Obec"
"00572781","Obec Valy","00572781",1,"osoba","ANDREA KAKAŠOVÁ","právní-forma/801","Obec"
"00883603","Obec Velký Luh","00883603",1,"osoba","JIŘINA VRÁBELOVÁ","právní-forma/801","Obec"
"00259641","Obec Vintířov","00259641",1,"osoba","MAREK CHOC","právní-forma/801","Obec"
"00637157","Obec Zblovice","00637157",1,"osoba","JAN MÁCA","právní-forma/801","Obec"
"00295833","Obec Žďárec","00295833",1,"osoba","JINDŘICH MÜHLHANSL","právní-forma/801","Obec"
"00637165","Obec Želetice","00637165",1,"osoba","MILAN CHOURA","právní-forma/801","Obec"
"00285544","Obec Želetice","00285544",1,"osoba","PAVEL PLANETA","právní-forma/801","Obec"
"00637289","Obec Žernovník","00637289",1,"osoba","TOMÁŠ DUDEK","právní-forma/801","Obec"
"00104051","Obec Žerotice","00104051",1,"osoba","LIBOR EKSLER","právní-forma/801","Obec"
"00225606","Obec Žerůtky","00225606",1,"osoba","JAN VYBÍRAL","právní-forma/801","Obec"
"00254398","Město Abertamy","00254398",1,"osoba","RENATA MRŇKOVÁ","právní-forma/801","Obec"
"00254410","Město Bečov nad Teplou","00254410",1,"osoba","MIROSLAV NEPRAŠ","právní-forma/801","Obec"
"00479705","Město Boží Dar","00479705",1,"osoba","JAN HORNÍK","právní-forma/801","Obec"
"00253961","Město Hranice","00253961",1,"osoba","DANIEL MAŠLÁR","právní-forma/801","Obec"
"00254622","Město Jáchymov","00254622",1,"osoba","JIŘÍ KAUCKÝ","právní-forma/801","Obec"
"00573167","Město Krásno","00573167",1,"osoba","JOSEF HAVEL","právní-forma/801","Obec"
"00254029","Město Lázně Kynžvart","00254029",1,"osoba","JINDŘICH ZÍVAL","právní-forma/801","Obec"
"00259535","Město Oloví","00259535",1,"osoba","JIŘÍ MIKULÁŠ","právní-forma/801","Obec"
"00254169","Město Plesná","00254169",1,"osoba","PETR SCHALLER","právní-forma/801","Obec"
"00254231","Město Skalná","00254231",1,"osoba","RITA SKALOVÁ","právní-forma/801","Obec"
"00573175","Obec Andělská Hora","00573175",1,"osoba","MILOSLAVA KŘIMSKÁ","právní-forma/801","Obec"
"00573183","OBEC BOŽIČANY","00573183",1,"osoba","MILOŠ KAMEŠ","právní-forma/801","Obec"
"00259268","Obec Bublava","00259268",1,"osoba","MONIKA HRÁDKOVÁ","právní-forma/801","Obec"
"00259276","Obec Bukovany","00259276",1,"osoba","ZDENĚK PAULUS","právní-forma/801","Obec"
"00271748","Město Libáň","00271748",1,"osoba","PETR SOUKUP","právní-forma/801","Obec"
"00271811","Město Miletín","00271811",1,"osoba","MIROSLAV NOSEK","právní-forma/801","Obec"
"00288446","Obec Ludmírov","00288446",1,"osoba","JIŘÍ TICHÝ","právní-forma/801","Obec"
"00299171","Obec Luká","00299171",1,"osoba","JAN BURIAN","právní-forma/801","Obec"
"00302961","Obec Lukavice","00302961",1,"osoba","VLADIMÍR VELICKÝ","právní-forma/801","Obec"
"00299189","Obec Lutín","00299189",1,"osoba","JAKUB CHRÁST","právní-forma/801","Obec"
"00302970","Obec Malá Morava","00302970",1,"osoba","ANTONÍN MARINOV","právní-forma/801","Obec"
"00288454","Obec Malé Hradisko","00288454",1,"osoba","PAVEL PROCHÁZKA","právní-forma/801","Obec"
"00636371","Obec Malhotice","00636371",1,"osoba","JOSEF VOLDÁN","právní-forma/801","Obec"
"00575666","Obec Medlov","00575666",1,"osoba","JAN ZAHRADNÍČEK","právní-forma/801","Obec"
"00636380","Obec Měrovice nad Hanou","00636380",1,"osoba","LADISLAV BAŘINA","právní-forma/801","Obec"
"00635995","Obec Mírov","00635995",1,"osoba","LUBOMÍR PEJCHAL","právní-forma/801","Obec"
"00299219","Obec Mladeč","00299219",1,"osoba","TOMÁŠ ZAPLETAL","právní-forma/801","Obec"
"00303046","Obec Moravičany","00303046",1,"osoba","JAROMÍRA SAŇÁKOVÁ","právní-forma/801","Obec"
"00288462","Obec Mořice","00288462",1,"osoba","TOMÁŠ PAVELKA","právní-forma/801","Obec"
"00600032","Obec Mostkovice","00600032",1,"osoba","JAROSLAV PEŠKA","právní-forma/801","Obec"
"00299251","Obec Náklo","00299251",1,"osoba","HANA ZÁVODNÁ","právní-forma/801","Obec"
"00296252","Obec Norberčany","00296252",1,"osoba","STANISLAV HUDÁČEK","právní-forma/801","Obec"
"00575658","Obec Nová Hradečná","00575658",1,"osoba","MARTA NOVÁKOVÁ","právní-forma/801","Obec"
"00282936","Obec Žabčice","00282936",1,"osoba","JAKUB COUFALÍK","právní-forma/801","Obec"
"00637661","Obec Zálesí","00637661",1,"osoba","KRISTÝNA KISLINGOVÁ","právní-forma/801","Obec"
"49457284","Obec Zálesná Zhoř","49457284",1,"osoba","PETR ŽÁK","právní-forma/801","Obec"
"00282944","Obec Žatčany","00282944",1,"osoba","FRANTIŠEK POLÁČEK","právní-forma/801","Obec"
"43420591","Obec Závist","43420591",1,"osoba","JAROSLAV POLÁČEK","právní-forma/801","Obec"
"00635766","Obec Želechovice","00635766",1,"osoba","ANTONÍN HAMPL","právní-forma/801","Obec"
"00303666","Obec Zvole","00303666",1,"osoba","RADEK KÓL","právní-forma/801","Obec"
"00483869","Město Březová nad Svitavou","00483869",1,"osoba","KAREL ADÁMEK","právní-forma/801","Obec"
"00276529","Město Bystré","00276529",1,"osoba","JAN NEUDERT","právní-forma/801","Obec"
"00270440","Město Luže","00270440",1,"osoba","LADISLAV PETERKA","právní-forma/801","Obec"
"00270741","Město Proseč","00270741",1,"osoba","JAN MACHÁČEK","právní-forma/801","Obec"
"00270822","Město Ronov nad Doubravou","00270822",1,"osoba","MARCEL LESÁK","právní-forma/801","Obec"
"00274241","Město Sezemice","00274241",1,"osoba","MARTIN STANĚK","právní-forma/801","Obec"
"00270920","Město Slatiňany","00270920",1,"osoba","JAN BRŮŽEK","právní-forma/801","Obec"
"00269867","Městys Bojanov","00269867",1,"osoba","MILAN MICHÁLEK","právní-forma/801","Obec"
"00271055","Městys Trhová Kamenice","00271055",1,"osoba","IVA DOSTÁLOVÁ","právní-forma/801","Obec"
"00271292","Městys Žumberk","00271292",1,"osoba","VÁCLAV HROMEK","právní-forma/801","Obec"
"00279625","Obec Tatenice","00279625",1,"osoba","VLADIMÍR ŽÁK","právní-forma/801","Obec"
"00580988","Obec Anenská Studánka","00580988",1,"osoba","RŮŽENA MOTLOVÁ","právní-forma/801","Obec"
"00273317","Obec Barchov","00273317",1,"osoba","IVETA KREBSOVÁ","právní-forma/801","Obec"
"00579459","Obec Bělá nad Svitavou","00579459",1,"osoba","JIŘÍ JÍLEK","právní-forma/801","Obec"
"00194514","Obec Bezděčí u Trnávky","00194514",1,"osoba","PETRA KLÍČOVÁ","právní-forma/801","Obec"
"15054241","Obec Biskupice","15054241",1,"osoba","PETR HUŠEK","právní-forma/801","Obec"
"00579467","Obec Biskupice","00579467",1,"osoba","DALIBOR ŠEBEK","právní-forma/801","Obec"
"00485667","Obec Bítovany","00485667",1,"osoba","PAVLA PEŘINOVÁ","právní-forma/801","Obec"
"00276413","Obec Bohuňov","00276413",1,"osoba","ZDEŇKA KOUDELKOVÁ","právní-forma/801","Obec"
"00273376","Obec Borek","00273376",1,"osoba","JANA BEDNÁŘOVÁ","právní-forma/801","Obec"
"00276430","Obec Borová","00276430",1,"osoba","LENKA TLUSTÁ","právní-forma/801","Obec"
"00654655","Obec Bousov","00654655",1,"osoba","LADISLAV CHROMEK","právní-forma/801","Obec"
"00273392","Obec Břehy","00273392",1,"osoba","PAVEL JIRAVA","právní-forma/801","Obec"
"00276472","Obec Březina","00276472",1,"osoba","VÁCLAV SLECHAN","právní-forma/801","Obec"
"00273384","Obec Brloh","00273384",1,"osoba","ALEŠ DRAHOKOUPIL","právní-forma/801","Obec"
"00276464","Obec Brněnec","00276464",1,"osoba","BLAHOSLAV KAŠPAR","právní-forma/801","Obec"
"00278581","Obec Bučina","00278581",1,"osoba","KATEŘINA NOVOTNÁ","právní-forma/801","Obec"
"00273406","Obec Bukovina nad Labem","00273406",1,"osoba","JAROSLAV JEDLIČKA","právní-forma/801","Obec"
"00273414","Obec Bukovina u Přelouče","00273414",1,"osoba","LEONA TURYNOVÁ FORTELKOVÁ","právní-forma/801","Obec"
"00278599","Obec Bystřec","00278599",1,"osoba","TOMÁŠ ŠŤASTNÝ","právní-forma/801","Obec"
"00485969","Obec Čankovice","00485969",1,"osoba","HANA SHEJBALOVÁ","právní-forma/801","Obec"
"00278611","Obec Čenkovice","00278611",1,"osoba","JOSEF DOSTÁLEK","právní-forma/801","Obec"
"00273457","Obec Čepí","00273457",1,"osoba","LUCIE POHORELCOVÁ","právní-forma/801","Obec"
"00275069","OBEC LIČNO","00275069",1,"osoba","MARTINA LUDVÍKOVÁ","právní-forma/801","Obec"
"00269042","OBEC LIŠICE","00269042",1,"osoba","TOMÁŠ ČERNÝ","právní-forma/801","Obec"
"00578436","OBEC LÍSKOVICE","00578436",1,"osoba","MARTIN HLADÍK","právní-forma/801","Obec"
"00581046","OBEC LITÍČ","00581046",1,"osoba","LENKA MUŽÍKOVÁ","právní-forma/801","Obec"
"00654027","OBEC LITOBOŘ","00654027",1,"osoba","JOSEF MEDEK","právní-forma/801","Obec"
"00271781","OBEC LUKAVEC U HOŘIC","00271781",1,"osoba","DAVID HLADÍK","právní-forma/801","Obec"
"00579301","OBEC LUKAVICE","00579301",1,"osoba","EVA MARTINŮ","právní-forma/801","Obec"
"00271799","Obec Lužany","00271799",1,"osoba","MARTIN MITLÖHNER","právní-forma/801","Obec"
"00656119","OBEC MALÁ ÚPA","00656119",1,"osoba","KAREL ENGLIŠ","právní-forma/801","Obec"
"00271802","Obec Markvartice","00271802",1,"osoba","HANA ZÖRKLEROVÁ","právní-forma/801","Obec"
"00303097","Obec Olšany","00303097",1,"osoba","ALEŠ JANDERKA","právní-forma/801","Obec"
"00636436","Obec Olšovec","00636436",1,"osoba","ANTONÍN FOLTER","právní-forma/801","Obec"
"00288578","Obec Ondratice","00288578",1,"osoba","BOHUSLAV KOŠTANSKÝ","právní-forma/801","Obec"
"00301655","Obec Opatovice","00301655",1,"osoba","JIŘÍ KOPETZKÝ","právní-forma/801","Obec"
"00636096","Obec Ostružná","00636096",1,"osoba","ROMAN ROUŠAL","právní-forma/801","Obec"
"00288594","Obec Otinoves","00288594",1,"osoba","PETR KOLÁŘ","právní-forma/801","Obec"
"00303127","Obec Palonín","00303127",1,"osoba","ZDENĚK NEJEZCHLEBA","právní-forma/801","Obec"
"00301701","Obec Partutovice","00301701",1,"osoba","JAROSLAV ŠINDLER","právní-forma/801","Obec"
"00303135","Obec Pavlov","00303135",1,"osoba","TEREZA NAVRÁTILOVÁ","právní-forma/801","Obec"
"00303151","Obec Písařov","00303151",1,"osoba","BOŘIVOJ DAVID","právní-forma/801","Obec"
"00303160","Obec Písečná","00303160",1,"osoba","JAN KONEČNÝ","právní-forma/801","Obec"
"00636479","Obec Podolí","00636479",1,"osoba","MARTIN PRÁŠIL","právní-forma/801","Obec"
"00301752","Obec Polkovice","00301752",1,"osoba","SVATOPLUK GEFING","právní-forma/801","Obec"
"00850675","Obec Polom","00850675",1,"osoba","MARTA KOUBKOVÁ","právní-forma/801","Obec"
"00303232","Obec Postřelmov","00303232",1,"osoba","JIŘÍ PUMPRLA","právní-forma/801","Obec"
"00228711","Obec Příkazy","00228711",1,"osoba","JAROSLAV SÍVEK","právní-forma/801","Obec"
"00288667","Obec Prostějovičky","00288667",1,"osoba","ZDEŇKA RŮŽIČKOVÁ","právní-forma/801","Obec"
"00301841","Obec Radíkov","00301841",1,"osoba","PETR SKÁCEL","právní-forma/801","Obec"
"00636517","Obec Radkovy","00636517",1,"osoba","IVETA DOČKALÍKOVÁ","právní-forma/801","Obec"
"00636533","Obec Radvanice","00636533",1,"osoba","MICHAL BEDNAŘÍK","právní-forma/801","Obec"
"00303267","Obec Rájec","00303267",1,"osoba","VLADIMÍR HROCH","právní-forma/801","Obec"
"00635901","Obec Rapotín","00635901",1,"osoba","BOHUSLAV HUDEC","právní-forma/801","Obec"
"60799692","Obec Řídeč","60799692",1,"osoba","JAROSLAV MÍČA","právní-forma/801","Obec"
"00636550","Obec Rouské","00636550",1,"osoba","DANIELA TVRDOŇOVÁ","právní-forma/801","Obec"
"00303313","Obec Ruda nad Moravou","00303313",1,"osoba","BRONISLAV DROZD","právní-forma/801","Obec"
"48769967","Obec Samotišky","48769967",1,"osoba","JANA ZAORALOVÁ","právní-forma/801","Obec"
"00299421","Obec Senice na Hané","00299421",1,"osoba","MICHAL TICHÝ","právní-forma/801","Obec"
"00301949","Obec Skalička","00301949",1,"osoba","PETRA KOČNAROVÁ","právní-forma/801","Obec"
"00635863","Obec Skorošice","00635863",1,"osoba","VLADIMÍR SOLODUJEV","právní-forma/801","Obec"
"00635332","Obec Slavětín","00635332",1,"osoba","PETR ŽERNÍČEK","právní-forma/801","Obec"
"00580601","Obec Černá u Bohdanče","00580601",1,"osoba","LUDĚK PILNÝ","právní-forma/801","Obec"
"00269956","Obec České Lhotice","00269956",1,"osoba","MIROSLAV KOMBEREC","právní-forma/801","Obec"
"00485659","Obec České Petrovice","00485659",1,"osoba","LUBOŠ LUX","právní-forma/801","Obec"
"00273651","Obec Choteč","00273651",1,"osoba","MARTIN CHVOJKA","právní-forma/801","Obec"
"00276707","Obec Chotěnov","00276707",1,"osoba","JITKA BOŠTÍKOVÁ","právní-forma/801","Obec"
"00273678","Obec Chvojenec","00273678",1,"osoba","JAROSLAVA PÍŠOVÁ","právní-forma/801","Obec"
"00273686","Obec Chýšť","00273686",1,"osoba","MIROSLAV SIRŮČEK","právní-forma/801","Obec"
"00278696","Obec Damníkov","00278696",1,"osoba","JIŘÍ BLAŽEK","právní-forma/801","Obec"
"00269964","Obec Dědová","00269964",1,"osoba","JOSEF NEKVINDA","právní-forma/801","Obec"
"00580902","Obec Dlouhá Třebová","00580902",1,"osoba","KATEŘINA SLEZÁKOVÁ","právní-forma/801","Obec"
"00580899","Obec Dlouhoňovice","00580899",1,"osoba","PETR NUN","právní-forma/801","Obec"
"00278718","Obec Dobříkov","00278718",1,"osoba","NIKOLA KAJSRLÍKOVÁ","právní-forma/801","Obec"
"00483575","Obec Dolní Bezděkov","00483575",1,"osoba","PETR ČERVINKA","právní-forma/801","Obec"
"00580911","Obec Dolní Morava","00580911",1,"osoba","LADISLAV JANOČKO","právní-forma/801","Obec"
"00273503","Obec Dolní Roveň","00273503",1,"osoba","MILOŠ HORÁK","právní-forma/801","Obec"
"00276596","Obec Dolní Újezd","00276596",1,"osoba","MILOŠ VRABEC","právní-forma/801","Obec"
"00580457","Obec Dubany","00580457",1,"osoba","IVA KUČEROVÁ","právní-forma/801","Obec"
"00194611","Obec Gruna","00194611",1,"osoba","MILAN KŘIVÁNEK","právní-forma/801","Obec"
"00579505","Obec Hartinkov","00579505",1,"osoba","MICHAL SEDLÁČEK","právní-forma/801","Obec"
"00278831","Obec Hejnice","00278831",1,"osoba","LADISLAV HARAPÁT","právní-forma/801","Obec"
"00273554","Obec Hlavečník","00273554",1,"osoba","DAGMAR SLÁNSKÁ","právní-forma/801","Obec"
"00270105","Obec Holetín","00270105",1,"osoba","JAN BŘEŇ","právní-forma/801","Obec"
"00579513","Obec Horky","00579513",1,"osoba","JOSEF PECHANEC","právní-forma/801","Obec"
"00273601","Obec Horní Ředice","00273601",1,"osoba","JIŘÍ KOSEL","právní-forma/801","Obec"
"00579521","Obec Horní Újezd","00579521",1,"osoba","MARIE HORVÁTHOVÁ JANOUŠKOVÁ","právní-forma/801","Obec"
"00580945","Obec Hrádek","00580945",1,"osoba","JIŘÍ WOLLMANN","právní-forma/801","Obec"
"00270164","Obec Hroubovice","00270164",1,"osoba","MARCEL SAMEK","právní-forma/801","Obec"
"00278980","Obec Jamné nad Orlicí","00278980",1,"osoba","VÁCLAV FILIP","právní-forma/801","Obec"
"00276758","Obec Jaroměřice","00276758",1,"osoba","IVETA GLOCOVÁ","právní-forma/801","Obec"
"00273708","Obec Jaroslav","00273708",1,"osoba","MARKÉTA LAŠTOVKOVÁ","právní-forma/801","Obec"
"00276766","Obec Jarošov","00276766",1,"osoba","MARTIN OLBRICH","právní-forma/801","Obec"
"00581038","OBEC HORNÍ BRUSNICE","00581038",1,"osoba","JIŘÍ VOJTÍŠEK","právní-forma/801","Obec"
"00268828","OBEC HRÁDEK","00268828",1,"osoba","HANA FEJGLOVÁ","právní-forma/801","Obec"
"45978662","OBEC HVOZDNICE","45978662",1,"osoba","JAN ŠPICAR","právní-forma/801","Obec"
"00190187","OBEC HYNČICE","00190187",1,"osoba","MARTIN HARUŠŤÁK","právní-forma/801","Obec"
"00579297","OBEC JAHODOV","00579297",1,"osoba","FRANTIŠEK ŠEDA","právní-forma/801","Obec"
"00271624","Obec Jeřice","00271624",1,"osoba","ERNEST PÁLDI","právní-forma/801","Obec"
"00271641","Obec Jičíněves","00271641",1,"osoba","JIŘÍ EXNAR","právní-forma/801","Obec"
"00578371","OBEC KACÁKOVA LHOTA","00578371",1,"osoba","PAVLA DRAPÁKOVÁ","právní-forma/801","Obec"
"00578380","OBEC KBELNICE","00578380",1,"osoba","FILIP SMOLÍK","právní-forma/801","Obec"
"44444371","OBEC KOBYLICE","44444371",1,"osoba","KAMIL HUSAR","právní-forma/801","Obec"
"00278017","OBEC KOHOUTOV","00278017",1,"osoba","LADISLAV GREGA","právní-forma/801","Obec"
"00271691","OBEC KONECCHLUMÍ","00271691",1,"osoba","DANA ŽIŽKOVÁ","právní-forma/801","Obec"
"00578398","OBEC KOSTELEC","00578398",1,"osoba","LUKÁŠ VELART","právní-forma/801","Obec"
"00274992","OBEC KOUNOV","00274992",1,"osoba","JAROSLAV BAŠEK","právní-forma/801","Obec"
"00275000","OBEC KRÁLOVA LHOTA","00275000",1,"osoba","JOLANA VANÍČKOVÁ","právní-forma/801","Obec"
"00268968","OBEC KRATONOHY","00268968",1,"osoba","MARKÉTA VINŠOVÁ","právní-forma/801","Obec"
"00579190","Obec Krchleby","00579190",1,"osoba","ZBYNĚK MYŠÁK","právní-forma/801","Obec"
"00653608","Obec Křinice","00653608",1,"osoba","BLANKA STRNADOVÁ","právní-forma/801","Obec"
"00275026","OBEC KVASINY","00275026",1,"osoba","JIŘÍ TOBIŠKA","právní-forma/801","Obec"
"00578428","OBEC KYJE","00578428",1,"osoba","JITKA MIKULECKÁ","právní-forma/801","Obec"
"00278041","Obec Lánov","00278041",1,"osoba","ELIŠKA ROJTOVÁ","právní-forma/801","Obec"
"00580198","OBEC LANŽOV","00580198",1,"osoba","JAN MENCL","právní-forma/801","Obec"
"00275042","Obec Lhoty u Potštejna","00275042",1,"osoba","JAN RŮŽIČKA","právní-forma/801","Obec"
"00269000","OBEC LIBČANY","00269000",1,"osoba","PETR VESELKA","právní-forma/801","Obec"
"00654094","OBEC LIBCHYNĚ","00654094",1,"osoba","JITKA ŠTĚPÁNKOVÁ","právní-forma/801","Obec"
"00275051","OBEC LIBERK","00275051",1,"osoba","KATEŘINA HARTMANOVÁ","právní-forma/801","Obec"
"00278084","OBEC LIBŇATOV","00278084",1,"osoba","JAROSLAV PICH","právní-forma/801","Obec"
"45978131","OBEC LIBNÍKOVICE","45978131",1,"osoba","MILOŠ ČISTÝ","právní-forma/801","Obec"
"00653322","OBEC LIBŘICE","00653322",1,"osoba","EVA HYNKOVÁ","právní-forma/801","Obec"
"00853097","Obec Šléglov","00853097",1,"osoba","DITA PEŠKOVÁ","právní-forma/801","Obec"
"00850705","Obec Špičky","00850705",1,"osoba","MICHAL PAJDLA","právní-forma/801","Obec"
"00303356","Obec Stará Červená Voda","00303356",1,"osoba","PAVEL DANILKO","právní-forma/801","Obec"
"00299511","Město Štěpánov","00299511",1,"osoba","JIŘÍ ŠINDLER","právní-forma/801","Obec"
"62858297","Obec Stínava","62858297",1,"osoba","PAVEL BOKŮVKA","právní-forma/801","Obec"
"47997265","Obec Střeň","47997265",1,"osoba","JIŘÍ NEVIMA","právní-forma/801","Obec"
"00635634","Obec Strukov","00635634",1,"osoba","IVANA KŘENKOVÁ","právní-forma/801","Obec"
"00288837","Obec Suchdol","00288837",1,"osoba","JITKA ZAHÁLKOVÁ","právní-forma/801","Obec"
"00303429","Obec Supíkovice","00303429",1,"osoba","ROMAN BICAN","právní-forma/801","Obec"
"00303437","Obec Svébohov","00303437",1,"osoba","MARTINA ŠŤASTNÁ","právní-forma/801","Obec"
"00576271","Obec Svésedlice","00576271",1,"osoba","LUBOMÍR KONAR","právní-forma/801","Obec"
"00299545","Obec Těšetice","00299545",1,"osoba","JINDŘICH PROTIVÁNEK","právní-forma/801","Obec"
"00635626","Obec Tovéř","00635626",1,"osoba","MIROSLAV MAJER","právní-forma/801","Obec"
"00299588","Obec Tršice","00299588",1,"osoba","PAVEL KOVÁČEK","právní-forma/801","Obec"
"00636631","Obec Tučín","00636631",1,"osoba","JIŘÍ ŘEZNÍČEK","právní-forma/801","Obec"
"00636649","Obec Turovice","00636649",1,"osoba","RADMIL TOMČÍK","právní-forma/801","Obec"
"00636657","Obec Uhřičice","00636657",1,"osoba","JAROSLAV KŘEPELKA","právní-forma/801","Obec"
"00299618","Obec Újezd","00299618",1,"osoba","PETR PŘICHYSTAL","právní-forma/801","Obec"
"00288870","Obec Určice","00288870",1,"osoba","PETR KOUŘIL","právní-forma/801","Obec"
"00303551","Obec Velké Losiny","00303551",1,"osoba","JANA FIALOVÁ","právní-forma/801","Obec"
"00299669","Obec Velký Týnec","00299669",1,"osoba","PETR HANUŠKA","právní-forma/801","Obec"
